Indicators;Measurable components of the indicator;Indicator Definition;Rationale of the indicator;Description of Damage;War Zone Activity;Simplicity of Analysis Method;Measurement_method;Units;Estimated Cost of Sampling Gear (USD);Estimated Cost of Sample Analysis (USD);Remote Sensing Possibility;Remote Sensing Method;Time ;Time Persistence ;Relevance_to_conflict;Data_availability;Indicator_capacity;Measurability_and_reliability;Sensitivity_to_changes;Predictive_power;Cost_effectiveness;Policy_relevance;Broad_impact_scope;Community and Ecosystem Health;;;;;;;;;;;;
Soil pH variations;Hydrogen ion concentration, Soil acidity, Soil alkalinity;Measure of how acidic or basic the soil is, affecting nutrient availability.;Affects nutrient availability and metal toxicity.;Extreme pH values indicate soil degradation, affecting plant growth and nutrient availability.;Changes due to chemical spills and pollution.;Simple;pH meter or soil test kit;pH units;$50 - $150;$20 - $50;No;N/A;Best measured after military operations involving chemical spills or heavy metal use.;Weeks to months, can indicate longer-term soil chemistry changes.;High;High;High;High;High;High;High;High;High;High;;;;;;;;;;;;
Organic matter content;Decomposed plant material, Decomposed animal material, Humus;Amount of decomposed plant and animal material in soil, crucial for fertility.;Influences soil structure, fertility, and biological activity.;Low levels indicate poor soil health, affecting fertility and crop yields.;Reduction due to burning and destruction of vegetation.;Medium;Loss on ignition;%;$100 - $300;$50 - $100;No;N/A;Best measured during and after military operations involving vegetation destruction.;Months to years, depending on decomposition rates and soil management.;High;High;High;High;High;High;Medium;High;High;High;;;;;;;;;;;;
Soil moisture content;Water content, Volumetric water content, Gravimetric water content;Amount of water in soil, important for plant growth.;Impacts plant growth, soil compaction, and nutrient mobility.;Low moisture indicates drought conditions, affecting plant growth and soil stability.;Depletion due to fires, explosions, and lack of irrigation.;Simple;Tensiometers or gravimetric;%;$100 - $300;$50 - $100;Yes;Microwave Remote Sensing;Best measured during and after military operations involving landscape alteration.;Days to weeks, depending on weather and soil type.;High;High;High;High;High;High;Medium;High;High;High;;;;;;;;;;;;
Bulk density;Soil compaction, Soil porosity, Soil structure;Measure of soil compaction, affecting root growth and water movement.;Indicator of soil compaction and health, affects root penetration.;High bulk density indicates soil compaction, affecting root growth and water infiltration.;Compaction from heavy machinery and explosions.;Medium;Core method;g/cm³;$100 - $300;$50 - $100;No;N/A;Best measured during and after military operations involving heavy machinery.;Months to years, depending on soil management and land use.;High;High;High;High;High;High;Medium;High;High;High;;;;;;;;;;;;
Electrical Conductivity (EC);Soil salinity, Dissolved salts, Ionic concentration;Measure of soil’s ability to conduct electricity, indicating salinity.;Reflects soil salinity, affects plant growth and microbial activity.;High EC indicates salinity, affecting plant growth and soil health.;Increased salinity from chemical spills and seawater intrusion.;Simple;Conductivity meter;dS/m;$100 - $300;$50 - $100;Yes;Remote Sensing Reflectance;Best measured during and after military operations involving chemical spills.;Days to weeks, depending on salt leaching and soil type.;High;High;High;High;High;High;High;High;High;High;;;;;;;;;;;;
Cation exchange capacity (CEC);Nutrient holding capacity, Exchangeable cations, Soil fertility;Soil’s ability to hold and exchange nutrients, important for fertility.;Measures nutrient holding capacity, important for soil fertility.;Low CEC indicates poor nutrient holding capacity, affecting soil fertility.;Reduction due to soil degradation and loss of vegetation.;Complex;Ammonium acetate leaching;cmol/kg;$500 - $1,000;$200 - $500;No;N/A;Best measured during and after military operations involving vegetation destruction.;Months to years, indicating soil nutrient holding capacity.;High;High;High;High;High;High;Medium;High;High;High;;;;;;;;;;;;
Nutrient levels (N, P, K);Nitrogen (N), Phosphorus (P), Potassium (K), Macronutrients;Amount of essential nutrients like nitrogen, phosphorus, and potassium in soil.;Essential for plant growth, affected by fertilization and pollution.;Low levels indicate nutrient deficiency, affecting plant growth and soil productivity.;Depletion due to soil degradation and lack of fertilization.;Medium;Colorimetric or ICP-AES;mg/kg;$100 - $300;$50 - $100;No;N/A;Best measured during and after military operations involving soil disturbance.;Weeks to months, depending on plant uptake and soil management.;High;High;High;High;High;High;Medium;High;High;High;;;;;;;;;;;;
Heavy metal contamination;Lead (Pb), Mercury (Hg), Arsenic (As), Cadmium (Cd), Chromium (Cr);Presence of toxic metals like lead and mercury in soil.;Toxicity risk to humans and wildlife, from industrial and military sources.;Presence of toxic metals indicates soil pollution, harmful to health and ecosystems.;Pollution from industrial sites, ammunition, and military equipment.;Complex;Atomic absorption spectroscopy (AAS);mg/kg;$1,000 - $3,000;$200 - $500;No;N/A;Best measured during and after military operations involving heavy metal use.;Years to decades, highly persistent in soils.;High;Medium;High;Medium;High;High;Low;High;High;High;;;;;;;;;;;;
Residual explosives;Unexploded ordnance (UXO), Explosive residues, TNT, RDX;Presence of unexploded ordnance and explosive residues in soil.;Specific to conflict areas, affecting safety and soil chemistry.;Presence indicates safety hazards and soil contamination.;Contamination from unexploded ordnance and explosive residues.;Complex;GC-MS or HPLC;µg/kg;$1,000 - $3,000;$200 - $500;No;N/A;Best measured immediately after conflict and periodically for safety assessment.;Months to years, depending on environmental conditions and remediation efforts.;High;Low;High;Low;High;Medium;Low;High;High;High;;;;;;;;;;;;
Soil texture;Sand, Silt, Clay, Soil particles;Proportion of sand, silt, and clay in soil, affecting water retention and drainage.;Affects water retention, erosion, and root growth.;Imbalance indicates poor water retention and drainage, affecting plant growth.;Alteration from construction and military activities.;Medium;Sieving and sedimentation;Textural class;$100 - $300;$50 - $100;No;N/A;Best measured during and after military operations involving landscape alteration.;Permanent, unless physically altered.;Medium;High;Medium;High;Medium;Medium;High;Medium;Medium;Medium;;;;;;;;;;;;
